	Japanese	English	Japanese Example	English Sentence	speaking score	listening score
0	とおか	ten days, 10th of the month	<b>とおか</b>ご に かえります	I'll come home in ten days.	0	0
1	なのか	seven days, 7th of the month	せんげつ の <b>なのか</b> に まご が うまれました	My grandchild was born on the seventh of last month.	0	0
2	よっか	four days, 4th of the month	しんがっき は らいげつ の <b>よっか</b> から です	The new school term starts on the fourth of next month.	0	0
3	つき	moon	こんや は <b>つき</b> が とても きれい です	The moon looks so beautiful tonight.	0	0
4	みず	water	<b>みず</b> を いっぱい ください	Please give me a glass of water.	0	0
5	にちようび	Sunday	<b>にちようび</b> は うみ に いきました	We went to the seaside on Sunday.	0	0
6	どようび	Saturday	<b>どようび</b> の よる は くらぶ に いきます	I'm going to a club Saturday night.	0	0
7	きんようび	Friday	<b>きんようび</b> の よる は ともだち と でかけます	I go out with my friends on Friday nights.	0	0
8	げつようび	Monday	<b>げつようび</b> に あいましょう	Let's meet on Monday.	0	0
9	もくようび	Thursday	<b>もくようび</b> は しごと が やすみ です	Thursday is my day off work.	0	0
10	ようび	day of the week	<b>ようび</b> を まちがえました	I got the day of the week wrong.	0	0
11	かようび	Tuesday	<b>かようび</b> に かいぎ が あります	There's a meeting on Tuesday.	0	0
12	すいようび	Wednesday	<b>すいようび</b> は ばいと が あります	I have a part-time job on Wednesdays.	0	0
13	わかる	understand	しつもん の いみ は <b>わかりました</b> か	Did you understand the meaning of the question?	0	0
14	さき	ahead, first	お<b>さき</b>に どうぞ	Please go ahead.	0	0
15	ことし	this year	<b>ことし</b> は いたりあ に りょこう したい	I want to travel to Italy this year.	0	0
16	こんげつ	this month	<b>こんげつ</b> は とても いそがしい	I'm very busy this month.	0	0
17	こんしゅう	this week	<b>こんしゅう</b> は にほんご の てすと が あります	There's a Japanese test this week.	0	0
18	くる	come	かれ は ひるすぎ に <b>きます</b>	He'll come after lunch.	0	0
19	らいねん	next year	<b>らいねん</b> いっしょ に りょこう しましょう	Let's travel together next year.	0	0
20	いく	go	にちようび は としょかん に <b>いきます</b>	I go to the library on Sundays.	0	0
21	おおきい	big	あの <b>おおきい</b> たてもの は なん です か	What's that big building?	0	0
22	ちいさい	small	<b>ちいさい</b> はな が さいて います	Small flowers are blooming.	0	0
23	すくない	few, little	ことし は あめ が <b>すくない</b> です 。	There's not much rain this year.	0	0
