	Kanji	English	Example Sentence	Example Sentence Reading	English Sentence	writing score	Reading	reading score
0	一つ	one (thing)	それを<b>一つ</b>ください。	それ を <b>ひとつ</b> ください	Please give me one of those.	0	ひとつ	0
1	一	one	<b>一</b>から始めましょう。	<b>いち</b> から はじめましょう	Let's start from the beginning.	0	いち	0
2	二	two	その人には<b>二</b>回会った。	その ひと に は <b>に</b> かい あった	I met that person twice.	0	に	0
3	二つ	two (things)	ソフトクリームを<b>二つ</b>ください。	そふとくりーむ を <b>ふたつ</b> ください	Please give me two ice cream cones.	0	ふたつ	0
4	三	three	彼女は<b>三</b>人の子供の母親だ。	かのじょ は <b>さん</b>にん の こども の ははおや だ	She's the mother of three children.	0	さん	0
5	三つ	three (things)	コップを<b>三つ</b>買いました。	こっぷ を <b>みっつ</b> かいました	I bought three glasses.	0	みっつ	0
6	四つ	four (things)	私は腕時計を<b>四つ</b>持っています。	わたし は うでどけい を <b>よっつ</b> もって います	I have four wristwatches.	0	よっつ	0
7	これ	"this, this one"	<b>これ</b>をください。	<b>これ</b>をください。	I'll have this please.	0	これ	0
8	四	four@four	<b>四</b>月に大学に入学しました。@ハワイは<b>四</b>回目です。	<b>し</b>がつ に だいがく に にゅうがく しました@はわい は <b>よん</b>かいめ です	I entered my university in April.@This is my fourth trip to Hawaii.	0	し@よん	0
9	五つ	five (things)	桃を<b>五つ</b>ください。	もも を <b>いつつ</b> ください	"I'd like five peaches, please."	0	いつつ	0
10	五	five	<b>五</b>人で旅行に行きました。	<b>ご</b>にん で りょこう に いきました	Five of us went on a trip.	0	ご	0
11	六つ	six (things)	息子は<b>六つ</b>になりました。	むすこ は <b>むっつ</b> に なりました	My son turned six.	0	むっつ	0
12	六	six	彼には子供が<b>六</b>人います。	かれ に は こども が <b>ろく</b>にん います	He has six children.	0	ろく	0
13	七つ	seven (things)	この子は今年<b>七つ</b>になります。	この こ は ことし <b>ななつ</b> に なります	Our kid's turning seven this year.	0	ななつ	0
14	八	eight	りんごを<b>八</b>個ください。	りんご を <b>はち</b>こ ください	Please give me eight apples.	0	はち	0
15	八つ	eight (things)	あの家には時計が<b>八つ</b>あります。	あの いえ に は とけい が <b>やっつ</b> あります	There are eight clocks in that house.	0	やっつ	0
